,platform,text,count
0,desktop,календарь 2021,2804
1,desktop,таблица менделеева,2631
2,desktop,картинки,1647
3,desktop,английский алфавит,1293
4,desktop,обои на рабочий стол,1143
5,desktop,Одноклассники (социальная сеть),1116
6,desktop,таблица квадратов,877
7,desktop,алфавит,874
8,desktop,таблица умножения,867
9,desktop,youtube,838
10,touch,с днём рождения женщине,4903
11,touch,с днём рождения,3967
12,touch,с днём рождения мужчине,3623
13,touch,с днем рождения,3005
14,touch,погода,2840
15,touch,игры,2833
16,touch,фильмы,2746
17,touch,новости,2708
18,touch,музыка,2696
19,touch,мода,2648
